split,accuracy,roc_auc,recall,precision,f1
train,0.9597294425419444,0.9701428305861342,0.6635747525495581,0.6932763646316827,0.6781004729017389
holdout,0.9521760668098229,0.9544719192133437,0.5948996018396915,0.6393619455336953,0.6163299304574075
