split,accuracy,roc_auc,recall,precision,f1
train,0.9570945832588124,0.9626697841537228,0.6226189063213686,0.6793688431983708,0.649757090720722
holdout,0.9515651604456044,0.9500460392934408,0.57347165569064,0.6392764764466495,0.6045887512452367
