split,accuracy,roc_auc,recall,precision,f1
train,0.9395560568646965,0.9516971051893277,0.6619814962758149,0.5214212753297717,0.5833537732289293
holdout,0.9338724906688323,0.934906598394976,0.6293950095771125,0.49059556213741107,0.5513946390767829
